headline,date,doc_type,author,section,url,news_desk,material_type,word_count,keywords
The World: Adjoining; Rethinking Segregation Beyond Black and White,2001-07-29,article,['Janny Scott'],,https://www.nytimes.com/2001/07/29/weekinreview/the-world-adjoining-rethinking-segregation-beyond-black-and-white.html,Week in Review Desk,News,1390.0,"[('glocations', 'United States'), ('subject', 'Social Conditions and Trends'), ('subject', 'IMMIGRATION AND REFUGEES'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Census')]"
Footlights,2001-07-18,article,['Lawrence Gelder'],,https://www.nytimes.com/2001/07/18/movies/footlights.html,The Arts/Cultural Desk,News,387.0,"[('organizations', 'NORTHWEST BOYCHOIR'), ('organizations', 'Seattle Symphony'), ('persons', 'Hockney, David'), ('subject', 'Music'), ('subject', 'Festivals'), ('subject', 'Indians, American'), ('subject', 'MOTION PICTURES'), ('subject', 'ASIAN AMERICAN INTERNATIONAL FILM FESTIVAL'), ('subject', 'Photography'), ('subject', 'Asian-Americans')]"
"In Population Ranks, An Ascent of Asians",2001-07-11,article,['Janny Scott'],,https://www.nytimes.com/2001/07/11/nyregion/in-population-ranks-an-ascent-of-asians.html,Metropolitan Desk,News,298.0,"[('glocations', 'New York City'), ('subject', 'Social Conditions and Trends'), ('subject', 'Indian-Americans'), ('subject', 'Chinese-Americans'), ('subject', 'Asian-Americans'), ('subject', 'Census')]"
"Report Looks at a Generation, And Caring for Young and Old",2001-07-11,article,['Tamar Lewin'],,https://www.nytimes.com/2001/07/11/us/report-looks-at-a-generation-and-caring-for-young-and-old.html,National Desk,News,721.0,"[('organizations', 'AARP'), ('subject', 'PUBLIC OPINION'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Children and Youth'), ('subject', 'AGED'), ('subject', 'Asian-Americans'), ('subject', 'Families and Family Life'), ('subject', 'Hispanic-Americans')]"
"Ideas & Trends; Leveling the Playing Field, but for Whom?",2001-07-01,article,['Steven Holmes'],,https://www.nytimes.com/2001/07/01/weekinreview/ideas-trends-leveling-the-playing-field-but-for-whom.html,Week in Review Desk,News,1055.0,"[('organizations', 'University of California'), ('subject', 'Affirmative Action'), ('subject', 'ADMISSIONS STANDARDS'), ('subject', 'Minorities (US)'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Colleges and Universities'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'SAT (College Admission Test)')]"
Police Seek Man in Attacks on 7 Women,2001-06-24,article,[],,https://www.nytimes.com/2001/06/24/nyregion/police-seek-man-in-attacks-on-7-women.html,Metropolitan Desk,News,136.0,"[('glocations', 'New York City'), ('subject', 'Robberies and Thefts'), ('subject', 'Sex Crimes'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
"THE CENSUS -- A Region of Enclaves; Amid a Sea of Faces, Islands of Segregation",2001-06-18,article,['Janny Scott'],,https://www.nytimes.com/2001/06/18/nyregion/the-census-a-region-of-enclaves-amid-a-sea-of-faces-islands-of-segregation.html,Metropolitan Desk,News,747.0,"[('glocations', 'New York City'), ('glocations', 'NEW YORK CITY METROPOLITAN AREA'), ('organizations', 'Census Bureau'), ('subject', 'Social Conditions and Trends'), ('subject', 'Minorities (US)'), ('subject', 'Surveys and Series'), ('subject', 'Population'), ('subject', 'IMMIGRATION AND REFUGEES'), ('subject', 'West Indian-Americans'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Census')]"
"THE CENSUS -- A Region of Enclaves: Runyon Heights, Yonkers; Oasis for Blacks Born of Exclusion",2001-06-18,article,['Richard Jones'],,https://www.nytimes.com/2001/06/18/nyregion/census-region-enclaves-runyon-heights-yonkers-oasis-for-blacks-born-exclusion.html,Metropolitan Desk,News,588.0,"[('glocations', 'NEW YORK CITY METROPOLITAN AREA'), ('glocations', 'Yonkers (NY)'), ('subject', 'Minorities (US)'), ('subject', 'Population'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Census')]"
Miscellany,2001-05-15,article,['Bernard Stamler'],,https://www.nytimes.com/2001/05/15/business/the-media-business-advertising-addenda-miscellany.html,Business/Financial Desk,News,95.0,"[('organizations', 'SPI GROUP'), ('organizations', 'TMXINTERACTIVE'), ('organizations', 'ASSOCIATION OF ASIAN-AMERICAN ADVERTISING AGENCIES'), ('organizations', 'Nine Dots Corp'), ('organizations', 'CYBERSIGHT'), ('organizations', 'ASIAN-AMERICAN ADVERTISING FEDERATION'), ('persons', 'MENCIN, MICKEY'), ('subject', 'ADVERTISING'), ('subject', 'Asian-Americans'), ('creative_works', 'ADVERTISING (TIMES COLUMN)')]"
A Diverse City Exists Equal but Separate,2001-05-11,article,['Steven Holmes'],,https://www.nytimes.com/2001/05/11/us/a-diverse-city-exists-equal-but-separate.html,National Desk,Series,1234.0,"[('glocations', 'Vallejo (Calif)'), ('subject', 'Population'), ('subject', 'Surveys and Series'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Census')]"
